,ic
2021-07-06,0.3520622731983652
2021-07-07,0.12477618510342908
2021-07-08,0.29770948718218415
2021-07-09,0.3442352676461514
2021-07-12,0.3668128228306957
2021-07-13,0.1854115970355244
2021-07-14,0.15885695286968815
2021-07-15,0.15835212288256337
2021-07-16,0.16207303156883945
2021-07-19,0.15399551197906458
2021-07-20,0.011050600054095278
2021-07-21,-0.14390793276408512
2021-07-22,0.14686221369773478
2021-07-23,0.28996887369849034
2021-07-26,0.2579867432735265
2021-07-27,0.5889898191952319
2021-07-28,-0.268934271778317
2021-07-29,-0.33935994955016674
2021-07-30,-0.5844820040178077
2021-08-02,0.22921580442055525
2021-08-03,0.24773727532556808
2021-08-04,0.4018110271935222
2021-08-05,0.48026425534780026
2021-08-06,0.09984157242896402
2021-08-09,0.17579663951394858
2021-08-10,-0.09929786988209113
2021-08-11,0.5390944457582193
2021-08-12,-0.23826150691818404
2021-08-13,0.1221538502310953
2021-08-16,0.46070506165893216
2021-08-17,0.37743411239007385
2021-08-18,0.26481029529197253
2021-08-19,0.2739105008333205
2021-08-20,-0.2683238307314511
2021-08-23,0.023820507952212244
2021-08-24,-0.08133442504710708
2021-08-25,-0.13227655868218383
2021-08-26,-0.07933505494441083
2021-08-27,0.2356971566157023
2021-08-30,0.03794968488043123
2021-08-31,-0.009649391261642368
2021-09-01,0.6554389446071577
2021-09-02,0.5036315704922959
2021-09-03,0.419416107117044
2021-09-07,0.40483031262014135
2021-09-08,0.5189459375206772
2021-09-09,0.5988895712117289
2021-09-10,0.3809634342031461
2021-09-13,0.2191515604657035
2021-09-14,0.02057109108566861
2021-09-15,0.03581859357399558
2021-09-16,-0.36536354964585505
2021-09-17,0.04731422521523798
2021-09-20,0.058355882039626744
2021-09-21,0.23458922014507375
2021-09-22,0.0863318750364018
2021-09-23,0.22195908612944973
2021-09-24,0.030950280508324365
2021-09-27,0.09685874822677007
2021-09-28,-0.3489559533865314
2021-09-29,0.1582332623031739
2021-09-30,0.10795451277604193
2021-10-01,0.21195711266619802
2021-10-04,-0.128810071976107
2021-10-05,-0.041377654316742146
2021-10-06,-0.01718391336198486
2021-10-07,-0.24255023563356087
2021-10-08,-0.35909699720696325
2021-10-11,5.5784726609720003e-05
2021-10-12,-0.003135935097542869
2021-10-13,0.48526494385772545
2021-10-14,0.6328664118568998
2021-10-15,-0.43225662002707643
2021-10-18,-0.15329416427929007
2021-10-19,-0.055999686140773275
2021-10-20,-0.28199975302010016
2021-10-21,-0.2695658634741681
2021-10-22,-0.17760601208000765
2021-10-25,-0.19772228542970927
2021-10-26,-0.2581192274851195
2021-10-27,0.030946318534824855
2021-10-28,-0.04361880081219571
2021-10-29,0.13448004767263333
2021-11-01,-0.027363952366708882
2021-11-02,-0.06631739253379755
2021-11-03,0.08058923603474812
2021-11-04,0.29649101759295504
2021-11-05,0.08198536364729034
2021-11-08,0.2548525018850756
2021-11-09,-0.2991077534123181
2021-11-10,-0.3091477434629133
2021-11-11,-0.6393332446776765
2021-11-12,-0.2779101664278795
2021-11-15,-0.15736572385862616
2021-11-16,0.3491007188184591
2021-11-17,0.21754852725848936
2021-11-18,0.3343981953244939
2021-11-19,0.2863683373079198
2021-11-22,-0.2564933391782839
2021-11-23,0.21129714293271515
2021-11-24,0.2250742396408552
2021-11-26,0.41837587252972064
2021-11-29,-0.03379707487372191
2021-11-30,-0.030638791843610687
2021-12-01,-0.37512623574273213
2021-12-02,-0.5232659705072312
2021-12-03,-0.24730165020390937
2021-12-06,-0.4062341848320585
2021-12-07,-0.24283896143042238
2021-12-08,0.3047642204197563
2021-12-09,0.44134769431447934
2021-12-10,0.4548196032379715
2021-12-13,0.16523600724542256
2021-12-14,0.02499884206781344
2021-12-15,-0.4354415660071732
2021-12-16,-0.17981534789652515
2021-12-17,0.3065903658220569
2021-12-20,0.10993387708204408
2021-12-21,0.00030016920566684757
2021-12-22,-0.21770722610449753
2021-12-23,-0.3836313465366543
2021-12-27,-0.5334229534636996
2021-12-28,-0.5661980862016284
2021-12-29,-0.4155509275221566
2021-12-30,-0.5334202238290656
2021-12-31,-0.48906099706431105
2022-01-03,-0.5514749281172101
2022-01-04,0.13804168386097093
2022-01-05,0.27983922197837796
2022-01-06,-0.18806587681960635
2022-01-07,-0.13566246516419223
2022-01-10,-0.40921697513620703
2022-01-11,-0.5657061534407696
2022-01-12,-0.39355277689208623
2022-01-13,-0.05146289544117827
2022-01-14,-0.05124018942660431
2022-01-18,-0.36129293042581745
2022-01-19,-0.41471810798992875
2022-01-20,-0.7451427930808839
2022-01-21,-0.5798899910027366
2022-01-24,0.208754989179975
2022-01-25,0.5024444340610311
2022-01-26,-0.07948649209625328
2022-01-27,0.1604981025311399
2022-01-28,0.1840886486487871
2022-01-31,0.4146787870339309
2022-02-01,0.371154624837725
2022-02-02,0.24681923258006877
2022-02-03,-0.29222425875545055
2022-02-04,-0.3780682728515056
2022-02-07,-0.5066783244305444
2022-02-08,-0.23207059740407376
2022-02-09,-0.1700214299222491
2022-02-10,0.19654324739343368
2022-02-11,0.08034510278419196
2022-02-14,-0.024567762298538284
2022-02-15,-0.4920313309906572
2022-02-16,0.0021684380451550203
2022-02-17,0.4534831589422138
2022-02-18,0.5520922807183559
2022-02-22,0.2100865173192727
2022-02-23,0.3163877677245306
2022-02-24,-0.3389331492908412
2022-02-25,-0.4861661861369783
2022-02-28,-0.2456904960805663
2022-03-01,-0.10910398978079061
2022-03-02,-0.030672514794536157
2022-03-03,-0.031113884990738055
2022-03-04,0.1761978756571083
2022-03-07,0.2669570656024675
2022-03-08,-0.14511465374676458
2022-03-09,0.13935022601920252
2022-03-10,0.6975350477873588
2022-03-11,0.727885879741197
2022-03-14,0.7172850152757722
2022-03-15,0.4792387079812662
2022-03-16,-0.26436942513447553
2022-03-17,0.31202244707798177
2022-03-18,0.5999933245634504
2022-03-21,0.050782151261926506
2022-03-22,-0.005388649070080298
2022-03-23,-0.1401461148815308
2022-03-24,-0.45053774605942676
2022-03-25,-0.49022544695432485
2022-03-28,-0.5328381127629989
2022-03-29,-0.47096323363631803
2022-03-30,0.15668255047450463
2022-03-31,-0.055249723610116944
2022-04-01,0.02928200380916733
2022-04-04,0.014194519159105218
2022-04-05,-0.29208239320509866
2022-04-06,-0.13422408359254362
2022-04-07,-0.3590202256901551
2022-04-08,-0.35974356315015543
2022-04-11,-0.2793072265022434
2022-04-12,-0.4565769066318856
2022-04-13,-0.6211463943396369
2022-04-14,-0.8618755878078093
2022-04-18,-0.7117141462544994
2022-04-19,-0.8457159102905845
2022-04-20,-0.5646676431300994
2022-04-21,0.16201832002108285
2022-04-22,0.015694017727959128
2022-04-25,0.02228932080101996
2022-04-26,0.35781036609468897
2022-04-27,0.8287691508629159
2022-04-28,0.14451678058783213
2022-04-29,0.06508870401124647
2022-05-02,-0.7212712142298372
2022-05-03,-0.49089412517841313
2022-05-04,-0.8037500790434124
2022-05-05,-0.5463309068517944
2022-05-06,-0.4954213247387828
2022-05-09,0.2950731050600589
2022-05-10,0.2951674950570715
2022-05-11,0.16270450264678538
2022-05-12,0.4808483321660242
2022-05-13,-0.3727427826208056
2022-05-16,0.24745582412286735
2022-05-17,-0.13690610789330443
2022-05-18,0.3406386742572862
2022-05-19,0.29607538673742795
2022-05-20,0.3129770123269109
2022-05-23,0.4542671399945887
2022-05-24,0.45684171472101565
2022-05-25,0.7774377829902482
2022-05-26,0.5301048569406219
2022-05-27,0.5249840862385617
2022-05-31,0.17045061027455338
2022-06-01,0.5307697200213983
2022-06-02,0.16013817500878838
2022-06-03,-0.31748142147458375
2022-06-06,-0.7845872763673241
2022-06-07,-0.7464545210932859
2022-06-08,-0.7326000783174398
2022-06-09,-0.7041218527735882
2022-06-10,-0.5509334578858375
2022-06-13,0.011367158963837581
2022-06-14,0.1389043204927311
2022-06-15,0.07871235103799744
2022-06-16,0.5953452083816247
2022-06-17,0.5243393845182991
2022-06-21,-0.16498026360433077
2022-06-22,-0.3804871013880088
2022-06-23,-0.4084572944773406
2022-06-24,-0.36135938654864097
2022-06-27,-0.13110954678666326
2022-06-28,0.1522748285032212
2022-06-29,0.34011404737913364
2022-06-30,0.21885558195786417
2022-07-01,0.2985112495026794
2022-07-05,-0.035648406150132705
2022-07-06,0.47629244379943875
2022-07-07,0.0388496568643017
2022-07-08,0.03450139446700113
2022-07-11,0.28328740450297357
2022-07-12,0.4571236181570528
2022-07-13,0.45224160265743885
2022-07-14,0.33927319464668415
2022-07-15,-0.00047803033611192036
2022-07-18,0.19048343730639083
2022-07-19,-0.0974833408889052
2022-07-20,-0.17309039421041145
2022-07-21,-0.24904884323956938
2022-07-22,-0.2854647114136366
2022-07-25,-0.4102954939011843
2022-07-26,0.2945310395146631
2022-07-27,-0.0017139887487372385
2022-07-28,-0.09137057547556363
2022-07-29,-0.1119204050427466
2022-08-01,0.04932365744337096
2022-08-02,-0.459182091597624
2022-08-03,-0.37218886509726246
2022-08-04,-0.5076863217637064
2022-08-05,-0.3572141189154485
2022-08-08,-0.18237009239853846
2022-08-09,-0.21293419378306938
2022-08-10,0.07594277857231675
2022-08-11,-0.06399228466820484
2022-08-12,-0.01986333515517666
2022-08-15,0.35926417611210903
2022-08-16,0.30730437423711277
2022-08-17,-0.036372273127674326
2022-08-18,0.09734788048536726
2022-08-19,0.29834406930707313
2022-08-22,0.0628781829144358
2022-08-23,-0.17791408763537625
2022-08-24,0.5295787172747567
2022-08-25,0.026892601151431716
2022-08-26,-0.16548507927104603
2022-08-29,-0.3116939108033213
2022-08-30,-0.5046466497792521
2022-08-31,-0.4240861448575183
2022-09-01,0.1548788419862751
2022-09-02,0.3761869156031204
2022-09-06,-0.24412951226987695
2022-09-07,-0.49413401485161923
2022-09-08,-0.6214279247670829
2022-09-09,-0.6657247049428888
2022-09-12,-0.5241950232130096
2022-09-13,-0.2846803973401343
2022-09-14,0.31563638539449596
2022-09-15,-0.2709973172642045
2022-09-16,-0.16242771283261317
2022-09-19,-0.43625017945190353
2022-09-20,-0.02367231781051142
2022-09-21,-0.33472010314842715
2022-09-22,-0.17120578445996965
2022-09-23,-0.05229115911118893
2022-09-26,0.0720644483892417
2022-09-27,0.2301279893913214
2022-09-28,0.17038994686574926
2022-09-29,0.32201797515717057
2022-09-30,-0.3641188999243933
2022-10-03,-0.45654433861062593
2022-10-04,0.2976451146868915
2022-10-05,0.36483844773413465
2022-10-06,0.21932038670395831
2022-10-07,-0.038668746486851736
2022-10-10,-0.43229309970323004
2022-10-11,-0.17437451006324758
2022-10-12,-0.1660291215740973
2022-10-13,-0.057085396673423244
2022-10-14,0.00511560884371004
2022-10-17,0.5053850026753788
2022-10-18,0.21594645389952238
2022-10-19,0.1043247333216832
2022-10-20,0.029571671899349228
2022-10-21,0.1931572489989884
2022-10-24,-0.20862542977696535
2022-10-25,0.001348033338359901
2022-10-26,0.17431047194505989
2022-10-27,-0.13367170036843068
2022-10-28,-0.10075987555036059
2022-10-31,-0.5061160912065428
2022-11-01,-0.5103499256006715
2022-11-02,-0.6025629033106603
2022-11-03,-0.43142094975122985
2022-11-04,-0.3513365253314389
2022-11-07,-0.24631693031118335
2022-11-08,-0.2514162978936664
2022-11-09,-0.5306117702597187
2022-11-10,0.11475550638335125
2022-11-11,0.054743405723882546
2022-11-14,0.08492901430451388
2022-11-15,0.36508966298962153
2022-11-16,0.35969033222364327
2022-11-17,0.2257214506312299
2022-11-18,0.3269735997304321
2022-11-21,0.050752129443818336
2022-11-22,0.25089839787950585
2022-11-23,0.09415092405632203
2022-11-25,0.11973354284374185
2022-11-28,0.07010815445514917
