,ic
2023-08-31,0.291859326601189
2023-09-01,-0.005684767645495636
2023-09-05,-0.24125110977975917
2023-09-06,-0.5991064550234779
2023-09-07,-0.7759929351702786
2023-09-08,-0.8793053018766723
2023-09-11,-0.7807949766792577
2023-09-12,-0.65822922523749
2023-09-13,-0.3407559366784934
2023-09-14,-0.03031576925415011
2023-09-15,0.6272943157647345
2023-09-18,0.14802134647645057
2023-09-19,-0.3492333960216481
2023-09-20,-0.22746765137811567
2023-09-21,0.3186789790802078
2023-09-22,0.015061423964896958
2023-09-25,0.21994984031902703
2023-09-26,0.20151170393648457
2023-09-27,0.48982287611436925
2023-09-28,-0.2571183657465431
2023-09-29,0.07304112506195345
2023-10-02,-0.09554656382851982
2023-10-03,0.45680730437601147
2023-10-04,0.1513121893947839
2023-10-05,0.5240315356570198
2023-10-06,0.3991850804790752
2023-10-09,0.45412414477822444
2023-10-10,0.14727730476424605
2023-10-11,-0.07089263629817708
2023-10-12,-0.4434436674628266
2023-10-13,-0.33724869369685934
2023-10-16,-0.3962322404673669
2023-10-17,-0.26611935029648465
2023-10-18,-0.11740610741557392
2023-10-19,0.23603755350855588
2023-10-20,-0.050780580543940496
2023-10-23,-0.22401372876062
2023-10-24,-0.08828991693452527
2023-10-25,-0.06369538334427542
2023-10-26,-0.3517154162508059
2023-10-27,-0.19035888499741282
2023-10-30,-0.13018443906739227
2023-10-31,-0.1104974593677266
2023-11-01,0.03844644835826003
2023-11-02,-0.15284740983169867
2023-11-03,0.19240305893936618
2023-11-06,0.21415803689143453
2023-11-07,0.2220358036711374
2023-11-08,0.0019275571960968227
2023-11-09,0.607305097079953
2023-11-10,-0.27065262809454876
2023-11-13,0.0769817442486681
2023-11-14,0.08864075516604761
2023-11-15,0.18215577000966185
2023-11-16,0.2350689805671638
2023-11-17,0.36764679969723296
2023-11-20,0.2819163435248129
2023-11-21,0.09749918386215492
2023-11-22,0.12150074870596535
2023-11-24,-0.013672704823322432
2023-11-27,0.06669724778976703
2023-11-28,-0.0822261067607757
2023-11-29,-0.03951832519577116
2023-11-30,0.03122965107127905
2023-12-01,-0.12403213636560231
2023-12-04,0.05133030562323605
2023-12-05,0.10003218406749866
2023-12-06,0.029890911623156796
2023-12-07,-0.03927815460831928
2023-12-08,0.1950682518548904
2023-12-11,-0.13212617379623437
2023-12-12,-0.044692425374399145
2023-12-13,0.1053964149763892
2023-12-14,-0.5179307376727678
2023-12-15,-0.4570741172170671
2023-12-18,0.13686658422085507
2023-12-19,0.02481651297685311
2023-12-20,-0.12050303060709591
2023-12-21,-0.11893286834049321
2023-12-22,-0.5212754289891034
2023-12-26,-0.7561851903944569
2023-12-27,-0.7732149930825587
2023-12-28,-0.634043155936245
2023-12-29,-0.5120455161304152
2024-01-02,-0.4014476587870054
2024-01-03,-0.4409042273398479
2024-01-04,-0.42481087634079917
2024-01-05,-0.41315613759504144
2024-01-08,-0.45944121128303295
2024-01-09,-0.37300393184841923
2024-01-10,0.1467644878525803
2024-01-11,0.035615667405407406
2024-01-12,0.10818186817195333
2024-01-16,0.45257945202526867
2024-01-17,0.5611633947478443
2024-01-18,0.3026391248124355
2024-01-19,0.11442857974652873
2024-01-22,-0.09880480539994263
2024-01-23,-0.07917627504905983
2024-01-24,-0.22787176404942386
2024-01-25,-0.4671713777620814
2024-01-26,-0.40910127124860124
