signal,fwd_days,IC_mean,IC_std,ICIR,IC_tstat,RankIC_mean,RankICIR,IC_pos_pct,N_days,N_tickers,flag
mom_20d,5,-0.00329,0.21711,-0.0152,-0.59,-0.00227,-0.0101,0.5086,1516,108,❌
mom_60d,5,0.00642,0.23083,0.0278,1.068,0.00889,0.0371,0.5196,1476,108,~
reversal_1d,5,0.01007,0.20142,0.05,1.959,0.0113,0.0525,0.5134,1535,108,~
vol_ratio,5,0.00231,0.12995,0.0177,0.691,0.0027,0.0205,0.5056,1517,108,~
dist_52w_high,5,0.01251,0.25482,0.0491,1.76,0.01814,0.0693,0.5167,1285,108,~
cs_rank_mom10,5,-0.00971,0.20205,-0.048,-1.877,-0.00632,-0.0295,0.4987,1526,108,❌
sue,5,0.01401,0.13126,0.1067,4.182,0.01073,0.0837,0.0723,1536,108,~
sue_decay,5,0.02724,0.13493,0.2019,3.256,0.01305,0.1029,0.4423,260,108,~
arm_signal,5,0.00738,0.07625,0.0967,1.616,0.00842,0.0725,0.5556,279,108,~
si_proxy,5,-0.00606,0.15683,-0.0386,-1.51,-0.00483,-0.0283,0.4993,1526,108,❌
