signal,fwd_days,IC_mean,IC_std,ICIR,IC_tstat,RankIC_mean,RankICIR,IC_pos_pct,N_days,N_tickers,flag
mom_20d,5,0.00618,0.35123,0.0176,0.685,0.00514,0.015,0.5073,1516,17,~
mom_60d,5,0.02706,0.36666,0.0738,2.835,0.02525,0.0712,0.5095,1476,17,~
reversal_1d,5,0.00647,0.3518,0.0184,0.721,0.01368,0.0401,0.5094,1535,17,~
vol_ratio,5,-0.00648,0.31239,-0.0207,-0.808,-0.01064,-0.0351,0.4957,1517,17,❌
dist_52w_high,5,0.0256,0.35777,0.0715,2.565,0.02934,0.085,0.5362,1285,17,✅
cs_rank_mom10,5,-0.00943,0.34197,-0.0276,-1.077,-0.01109,-0.0327,0.483,1526,17,❌
sue,5,-0.00433,0.25016,-0.0173,-0.679,0.01799,0.0716,0.0618,1536,17,❌
sue_decay,5,0.00413,0.33152,0.0125,0.185,-0.00301,-0.0097,0.4591,220,17,~
arm_signal,5,0.05035,0.32761,0.1537,2.473,0.03284,0.0881,0.5869,259,17,✅
si_proxy,5,-0.00247,0.32911,-0.0075,-0.294,0.00378,0.0116,0.5059,1526,17,❌
nlp_sent,5,-0.00514,0.3624,-0.0142,-0.543,0.00763,0.0216,0.4765,1465,17,❌
nlp_drift,5,-0.00681,0.35407,-0.0192,-0.668,-0.01644,-0.0472,0.4888,1209,17,❌
