signal,fwd_days,IC_mean,IC_std,ICIR,IC_tstat,RankIC_mean,RankICIR,IC_pos_pct,N_days,N_tickers,flag
mom_20d,5,-0.00871,0.22277,-0.0391,-1.523,-0.00723,-0.0314,0.5059,1516,71,❌
mom_60d,5,0.00464,0.24044,0.0193,0.741,0.00777,0.032,0.5122,1476,71,~
reversal_1d,5,0.00736,0.20626,0.0357,1.398,0.01097,0.0503,0.5166,1535,71,~
vol_ratio,5,-0.00258,0.14822,-0.0174,-0.679,-0.00437,-0.0293,0.5043,1517,71,❌
dist_52w_high,5,0.00363,0.24954,0.0146,0.522,0.01131,0.0443,0.4965,1285,71,~
cs_rank_mom10,5,-0.01171,0.2101,-0.0557,-2.176,-0.00959,-0.0438,0.4843,1526,71,❌
sue,5,0.02657,0.14743,0.1803,7.064,0.02326,0.1622,0.0768,1536,71,~
sue_decay,5,0.04552,0.16813,0.2707,4.366,0.02761,0.1912,0.4615,260,71,~
arm_signal,5,0.01529,0.13213,0.1157,1.933,0.02661,0.1844,0.5663,279,71,~
si_proxy,5,-0.00717,0.17513,-0.0409,-1.599,-0.00358,-0.0189,0.4954,1526,71,❌
