,alpha_ann
2021-06-21,0.5810101578239854
2021-06-22,0.5967393053841624
2021-06-23,0.5852665408403367
2021-06-24,0.5859579827901134
2021-06-25,0.5730103495488167
2021-06-28,0.5706234935165886
2021-06-29,0.5399450345379161
2021-06-30,0.5541152562896547
2021-07-01,0.5590751794033301
2021-07-02,0.5437658466921768
2021-07-06,0.5760191023672623
2021-07-07,0.5677937643537249
2021-07-08,0.5408302025117663
2021-07-09,0.5328337420652547
2021-07-12,0.5285624910838305
2021-07-13,0.42098457854727034
2021-07-14,0.42066530249232864
2021-07-15,0.43728483678947333
2021-07-16,0.401520162631508
2021-07-19,0.4032653278624553
2021-07-20,0.3757390976036458
2021-07-21,0.30759256706279436
2021-07-22,0.30061818771562154
2021-07-23,0.3130174916663323
2021-07-26,0.2749603904721234
2021-07-27,0.31084289069858423
2021-07-28,0.3280850721621724
2021-07-29,0.27545635575553373
2021-07-30,0.2960858002049084
2021-08-02,0.3049804900131402
2021-08-03,0.3025795596116882
2021-08-04,0.2703899029631919
2021-08-05,0.2907175874069055
2021-08-06,0.306066397866858
2021-08-09,0.2952603363610343
2021-08-10,0.27086009019790747
2021-08-11,0.27222445720787797
2021-08-12,0.296053962764678
2021-08-13,0.2910173284071604
2021-08-16,0.2643052833136274
2021-08-17,0.31620246160904186
2021-08-18,0.20585805288114417
2021-08-19,0.25366887004365346
2021-08-20,0.2722525114223232
2021-08-23,0.26297754561325
2021-08-24,0.2501985346262235
2021-08-25,0.20369556209529197
2021-08-26,0.21148764565353068
2021-08-27,0.21042221785941043
2021-08-30,0.24971774480611544
2021-08-31,0.22206367480391295
2021-09-01,0.23365503627222328
2021-09-02,0.20871989406973004
2021-09-03,0.1982876483915132
2021-09-07,0.1885598862652354
2021-09-08,0.16781821862591043
2021-09-09,0.16047329182003026
2021-09-10,0.15319267797220454
2021-09-13,0.18190181440871597
2021-09-14,0.17297615800838803
2021-09-15,0.2384332230244872
2021-09-16,0.2010265142536081
2021-09-17,0.20446719556191048
2021-09-20,0.20084105859389345
2021-09-21,0.19949987393484828
2021-09-22,0.111524241135683
2021-09-23,0.08120054136029278
2021-09-24,0.0714201023915871
2021-09-27,0.0738091077208758
2021-09-28,0.03778228382745511
2021-09-29,0.012373641182292547
2021-09-30,0.01655111695364136
2021-10-01,0.0019526211924437964
2021-10-04,0.024375054191053593
2021-10-05,0.04921523056966865
2021-10-06,0.017728137855429104
2021-10-07,-0.07417145810254179
2021-10-08,-0.08320470682840048
2021-10-11,-0.07708237148941845
2021-10-12,-0.06547081286160122
2021-10-13,-0.08626047570204726
2021-10-14,-0.09609741547497871
2021-10-15,-0.07946487557560905
2021-10-18,-0.04903491321364449
2021-10-19,-0.07891499395730067
2021-10-20,-0.0730337631563688
2021-10-21,-0.06900014131278653
2021-10-22,-0.16430692867802182
2021-10-25,-0.15737276813607895
2021-10-26,-0.19789623842410392
2021-10-27,-0.20026224868546202
2021-10-28,-0.22506239028904707
2021-10-29,-0.1973521354915036
2021-11-01,-0.21268140373210312
2021-11-02,-0.223884452671433
2021-11-03,-0.20490159668745128
2021-11-04,-0.1851755056308482
2021-11-05,-0.1219657494482355
2022-01-28,-0.08189359604183628
2022-01-31,-0.06511120366541202
2022-02-01,-0.04491087688160503
2022-02-02,-0.053985416656235796
2022-02-03,-0.07440877207043432
2022-02-04,-0.10131508488954717
2022-02-07,-0.08921618988103536
2022-02-08,-0.06168250993549025
2022-02-09,-0.043571007639542324
2022-02-10,-0.026955426975781682
2022-02-11,-0.03947303678398206
2022-02-14,-0.07139703155652298
2022-02-15,-0.08434997485647928
2022-02-16,-0.08354608307508689
2022-02-17,-0.12041716508856816
2022-02-18,-0.16156332219378908
2022-02-22,-0.15297225037888823
2022-02-23,-0.1878098408640352
2022-02-24,-0.17887743312127052
2022-02-25,-0.17620831654179084
2022-02-28,-0.20848780253767243
2022-03-01,-0.21698187576658803
2022-03-02,-0.18963534595129689
2022-03-03,-0.1884389773065562
2022-03-04,-0.18506242102421627
2022-03-07,-0.18151070688275367
2022-03-08,-0.1063404962724996
2022-03-09,-0.04700207590747932
2022-03-10,-0.06249198411260676
2022-03-11,-0.06051813118837903
2022-03-14,-0.09278268806778872
2022-03-15,-0.05444844814060416
2022-06-14,0.010030555423540675
2022-06-15,-0.006458007551395961
2022-06-16,0.025214065567641632
2022-06-17,0.014943517246192846
2022-06-21,0.025216800972960016
2022-06-22,0.010224040114217497
2022-06-23,0.006083778907382696
2022-06-24,0.03289038698408024
2022-06-27,0.017405374234251127
2022-06-28,-0.007205783203924048
2022-06-29,-0.09920382802735482
2022-06-30,-0.10485208513926614
2022-07-01,-0.10209000874415891
2022-07-05,-0.1152492493211558
2022-07-06,-0.11921660385599112
