,r2_S&P 500,r2_Nasdaq-100,r2_Technology,r2_Financials,r2_Industrials
2020-07-06,0.8557,0.8918,0.8992,0.7085,0.7198
2020-07-07,0.8563,0.8921,0.8992,0.7094,0.7215
2020-07-08,0.8578,0.8939,0.9002,0.7103,0.7225
2020-07-09,0.8601,0.896,0.9021,0.7127,0.7234
2020-07-10,0.8586,0.8965,0.9025,0.7088,0.7181
2020-07-13,0.8569,0.8958,0.9027,0.7019,0.7162
2020-07-14,0.8569,0.8954,0.9026,0.6995,0.7136
2020-07-15,0.8571,0.8951,0.9026,0.6992,0.7136
2020-07-16,0.856,0.8954,0.9026,0.6968,0.7091
2020-07-17,0.8571,0.8958,0.9028,0.6968,0.7098
2020-07-20,0.857,0.8957,0.9027,0.6962,0.7096
2020-07-21,0.8569,0.8946,0.9025,0.6942,0.7053
2020-07-22,0.8565,0.8942,0.9023,0.6911,0.7035
2020-07-23,0.8565,0.8942,0.9022,0.6911,0.7038
2020-07-24,0.8568,0.8926,0.9014,0.6899,0.7032
2020-07-27,0.8565,0.8927,0.9016,0.6888,0.7032
2020-07-28,0.8556,0.8925,0.9009,0.6847,0.7012
2020-07-29,0.8551,0.8926,0.9007,0.6831,0.7012
2020-07-30,0.8569,0.8946,0.9032,0.6852,0.7048
2020-07-31,0.8544,0.8938,0.9029,0.6809,0.7012
2020-08-03,0.8531,0.8905,0.8966,0.6807,0.7003
2020-08-04,0.8529,0.8909,0.8963,0.6801,0.7003
2020-08-05,0.8526,0.8899,0.8952,0.68,0.6992
2020-08-06,0.852,0.8917,0.8963,0.6779,0.696
2020-08-07,0.8515,0.8906,0.8954,0.6779,0.6959
2020-08-10,0.8521,0.8921,0.8961,0.6746,0.6922
2020-08-11,0.8519,0.8919,0.896,0.6744,0.6885
2020-08-12,0.8534,0.8931,0.8987,0.6725,0.6878
2020-08-13,0.8531,0.8937,0.8989,0.6688,0.6848
2020-08-14,0.8528,0.8929,0.8984,0.6687,0.6849
2020-08-17,0.853,0.8931,0.8987,0.6687,0.6848
2020-08-18,0.8533,0.894,0.8991,0.6661,0.684
2020-08-19,0.8544,0.8931,0.8991,0.6667,0.6863
2020-08-20,0.8548,0.893,0.8989,0.6673,0.6871
2020-08-21,0.8549,0.8888,0.8955,0.6691,0.6896
2020-08-24,0.8532,0.8872,0.8937,0.6677,0.6883
2020-08-25,0.8525,0.8865,0.8932,0.6652,0.6863
2020-08-26,0.8526,0.8867,0.8932,0.6653,0.6861
