train_start,test_start,train_rows,test_rows,fold_IC
2020-04-03,2021-04-06,768,756,-0.05156
2020-07-06,2021-07-06,1524,756,0.00337
2020-10-02,2021-10-04,2280,756,0.15434
2021-01-04,2022-01-03,3024,756,-0.22623
2021-04-06,2022-04-04,3024,756,-0.00228
2021-07-06,2022-07-06,3024,756,-0.01497
2021-10-04,2022-10-04,3024,756,0.1731
2022-01-03,2023-01-04,3024,756,-0.19995
2022-04-04,2023-04-05,3024,756,-0.05404
2022-07-06,2023-07-07,3024,756,-0.00425
2022-10-04,2023-10-05,3024,756,0.08193
2023-01-04,2024-01-05,3024,756,0.07491
2023-04-05,2024-04-08,3024,756,0.01684
2023-07-07,2024-07-09,3024,756,0.14906
2023-10-05,2024-10-07,3024,756,0.19408
2024-01-05,2025-01-07,3024,756,-0.1574
2024-04-08,2025-04-09,3024,756,-0.14375
2024-07-09,2025-07-11,3024,756,0.01775
2024-10-07,2025-10-09,3024,756,-0.13056
