,ic
2021-04-06,0.2536387663718276
2021-04-07,-0.04493244079087877
2021-04-08,0.19434044051811925
2021-04-09,0.0024689191907274477
2021-04-12,-0.2129399560199377
2021-04-13,-0.21769686124548407
2021-04-14,-0.38159614149005294
2021-04-15,-0.11835682858367658
2021-04-16,-0.1560960278923675
2021-04-19,-0.4454838685555804
2021-04-20,-0.3139140087549438
2021-04-21,-0.4680898276109987
2021-04-22,0.16251961414843877
2021-04-23,-0.18215056977964564
2021-04-26,-0.45677291808525045
2021-04-27,-0.36676594289980835
2021-04-28,-0.353667725017177
2021-04-29,-0.7180723191076722
2021-04-30,-0.4449420089052132
2021-05-03,-0.05936298847822302
2021-05-04,-0.6019350565389026
2021-05-05,-0.04023222427769935
2021-05-06,0.027740327075129245
2021-05-07,0.0644017630284858
2021-05-10,-0.025447533438413356
2021-05-11,-0.14989373237124953
2021-05-12,-0.03983078209120146
2021-05-13,0.16973738876847488
2021-05-14,0.1662856783703113
2021-05-17,0.04291384044981414
2021-05-18,0.14630991753922448
2021-05-19,-0.26970537593283933
2021-05-20,-0.5105314622517299
2021-05-21,-0.5068846604397723
2021-05-24,-0.12250779931343658
2021-05-25,-0.03879221807042392
2021-05-26,-0.07157749307784533
2021-05-27,-0.04530073116191323
2021-05-28,0.0296165764543279
2021-06-01,0.05524441030928703
2021-06-02,-0.03429290193841207
2021-06-03,0.20639541769567246
2021-06-04,0.25654783397312114
2021-06-07,0.2598915671276046
2021-06-08,0.1259646540099454
2021-06-09,0.13447720694153886
2021-06-10,0.2157225947723846
2021-06-11,0.17485419542903763
2021-06-14,0.2646624976733801
2021-06-15,0.2847130931877291
2021-06-16,0.5524010788156393
2021-06-17,0.29153464062709195
2021-06-18,0.2567536173461046
2021-06-21,0.4161621128248102
2021-06-22,0.11348642178094867
2021-06-23,0.11142936567916312
2021-06-24,0.1654569709816951
2021-06-25,-0.01145640271075786
2021-06-28,0.02565178010030994
2021-06-29,-0.3128202339931359
2021-06-30,-0.3438836517795566
2021-07-01,-0.1928102843184305
2021-07-02,-0.16085101220693862
2021-07-06,-0.2480432072674762
2021-07-07,-0.5420803829427676
2021-07-08,-0.33736753916078555
2021-07-09,-0.44993908484185213
2021-07-12,-0.5128433844269061
2021-07-13,-0.15721941587501664
2021-07-14,-0.00426485531684867
2021-07-15,0.3046170262019949
2021-07-16,0.30703856560047504
2021-07-19,0.36116443443461876
2021-07-20,0.04909388546832935
2021-07-21,0.0032297335086312745
2021-07-22,0.1759432702966476
2021-07-23,-0.24119071572531797
2021-07-26,-0.1682658043221785
2021-07-27,0.2039898396000786
