,ic
2025-04-15,-0.26348315008360085
2025-04-16,0.1670932038623969
2025-04-17,0.054926313748138
2025-04-21,0.28639774731223844
2025-04-22,0.048168260635480076
2025-04-23,-0.5909741218549714
2025-04-24,-0.6331260044463161
2025-04-25,-0.5361318460954247
2025-04-28,0.1387458181464583
2025-04-29,0.4070412543588512
2025-04-30,0.501654250307344
2025-05-01,-0.2698838312185374
2025-05-02,0.3478571057193261
2025-05-05,-0.5484402100039703
2025-05-06,0.0220835936805715
2025-05-07,-0.037049501829974976
2025-05-08,-0.4673483810410436
2025-05-09,-0.17438503309295172
2025-05-12,0.024927770053630935
2025-05-13,0.2518852715396679
2025-05-14,2.8037595917854846e-05
2025-05-15,0.3031692860903537
2025-05-16,0.08613133012016677
2025-05-19,-0.10660417441505982
2025-05-20,0.1871193691488966
2025-05-21,0.2564020551525799
2025-05-22,0.0804078265154525
2025-05-23,0.002699625732277555
2025-05-27,0.1965225294735894
2025-05-28,0.4136312541839426
2025-05-29,0.5618394979843158
2025-05-30,-0.056314930750282294
2025-06-02,0.17671685212344712
2025-06-03,0.40263794875326275
2025-06-04,0.17367142491453808
2025-06-05,-0.15619839898182913
2025-06-06,-0.3118122838369946
2025-06-09,-0.5348323109681539
2025-06-10,-0.3948833464312276
2025-06-11,0.41888171068205565
2025-06-12,0.33817745922849796
2025-06-13,0.4577566121134676
2025-06-16,-0.2023383508366388
2025-06-17,0.5094024899496693
2025-06-18,-0.32170771724610664
2025-06-20,0.19956596991973793
2025-06-23,0.035187539237906615
2025-06-24,0.1990499873713537
2025-06-25,-0.04112135835955572
2025-06-26,-0.020715902596087632
2025-06-27,-0.11311234589145346
2025-06-30,-0.5087518275900713
2025-07-01,-0.2303786507212681
2025-07-02,0.23573967601185625
2025-07-03,0.5991073275964993
2025-07-07,0.21424862376712547
2025-07-08,-0.2770574764327648
2025-07-09,0.3965947203857505
2025-07-10,-0.25701091454115293
2025-07-11,0.05734818551892645
2025-07-14,-0.005576540106673106
2025-07-15,0.1515247282665117
2025-07-16,0.345473527358512
2025-07-17,0.22144568775002282
2025-07-18,-0.3762154977548229
2025-07-21,-0.00176957542726347
2025-07-22,-0.30094017843946286
2025-07-23,0.21375916538547357
2025-07-24,-0.04062452091670575
2025-07-25,0.21745936395029122
2025-07-28,-0.07031295493394363
2025-07-29,-0.04898206593711338
2025-07-30,-0.6826893029689224
2025-07-31,-0.0942155641905086
2025-08-01,0.6735703560343353
2025-08-04,0.49875845556359827
2025-08-05,-0.35582960093756916
2025-08-06,0.0020920210365995007
2025-08-07,0.34848344655287605
2025-08-08,-0.16645807779950358
2025-08-11,-0.18734348717603827
2025-08-12,-0.3176804502207802
2025-08-13,0.18874095440897204
2025-08-14,-0.28093608540362847
2025-08-15,0.12424348065966488
2025-08-18,-0.08207241901683153
2025-08-19,0.21004502064220504
2025-08-20,-0.13589062019964882
2025-08-21,-0.3348286995496119
2025-08-22,-0.40229186182705806
2025-08-25,0.33500561955879793
2025-08-26,-0.43748996680227675
2025-08-27,-0.12880832243840365
2025-08-28,-0.3728865518639177
2025-08-29,0.531905185295207
2025-09-02,-0.13873488399608175
2025-09-03,0.0019351748436578498
2025-09-04,0.1779953535970965
2025-09-05,0.3042309702795444
2025-09-08,0.420782255521367
2025-09-09,-0.01351338844675572
2025-09-10,0.23149012193802915
2025-09-11,-0.14525878823084304
2025-09-12,0.19187603736675862
2025-09-15,0.29807339871160043
2025-09-16,-0.42780740532750045
2025-09-17,-0.3902986892132571
2025-09-18,-0.12178083347985806
2025-09-19,-0.1126031010539874
2025-09-22,-0.06078501168313574
2025-09-23,0.33266721974941527
2025-09-24,-0.7839487954689253
2025-09-25,-0.6989805003029325
2025-09-26,0.42568006908150435
2025-09-29,0.3679504613323728
2025-09-30,-0.13870313552509866
2025-10-01,0.5389189040578535
2025-10-02,-0.2360584195719764
2025-10-03,-0.15235142952024425
2025-10-06,-0.2655328908325992
2025-10-07,-0.5791690900662939
2025-10-08,-0.745079678201569
2025-10-09,0.16257947146637958
2025-10-10,0.4530754834664451
2025-10-13,0.49415851328391847
2025-10-14,-0.12272287343880595
2025-10-15,-0.23126497752320818
2025-10-16,0.06861431600176535
2025-10-17,-0.22288051769027925
2025-10-20,-0.20282887605825273
2025-10-21,-0.20889324576739643
2025-10-22,0.2987846835063937
2025-10-23,0.5425548333041337
2025-10-24,0.3310440621134087
2025-10-27,-0.07758348838028328
2025-10-28,-0.010280448093567013
2025-10-29,0.22293357089767488
2025-10-30,0.08750070627890677
2025-10-31,0.2796089084434628
2025-11-03,0.06419788123925395
2025-11-04,-0.015980084039479384
2025-11-05,-0.23710403503170488
2025-11-06,-0.4941500154847326
2025-11-07,-0.19542414416974785
2025-11-10,0.13824171861342938
2025-11-11,-0.1709560451570753
2025-11-12,0.46964675465148403
2025-11-13,-0.5591093337260735
2025-11-14,-0.25066833843410324
2025-11-17,-0.13939068261511053
2025-11-18,0.16778013329241315
2025-11-19,-0.5891780771614421
2025-11-20,-0.12911082775705665
2025-11-21,0.1635787982438073
2025-11-24,-0.24275441951301505
