,rank_ic
2023-08-31,-0.2447552447552448
2023-09-01,0.2377622377622378
2023-09-05,0.5594405594405596
2023-09-06,0.35664335664335667
2023-09-07,0.7552447552447553
2023-09-08,0.5594405594405596
2023-09-11,0.46153846153846156
2023-09-12,0.4825174825174825
2023-09-13,0.9020979020979022
2023-09-14,0.6993006993006995
2023-09-15,0.1188811188811189
2023-09-18,0.2937062937062937
2023-09-19,0.16783216783216784
2023-09-20,-0.3916083916083916
2023-09-21,-0.5734265734265735
2023-09-22,-0.49650349650349657
2023-09-25,-0.41958041958041964
2023-09-26,-0.6713286713286714
2023-09-27,-0.3216783216783217
2023-09-28,-0.2867132867132868
2023-09-29,-0.4825174825174825
2023-10-02,-0.2517482517482518
2023-10-03,-0.32867132867132864
2023-10-04,-0.5524475524475525
2023-10-05,-0.14685314685314685
2023-10-06,0.2377622377622378
2023-10-09,0.06293706293706294
2023-10-10,0.22377622377622378
2023-10-11,-0.17482517482517487
2023-10-12,-0.08391608391608392
2023-10-13,-0.06993006993006995
2023-10-16,0.2447552447552448
2023-10-17,0.06293706293706294
2023-10-18,0.11188811188811189
2023-10-19,0.2447552447552448
2023-10-20,-0.2867132867132868
2023-10-23,-0.17482517482517487
2023-10-24,-0.1258741258741259
2023-10-25,-0.5314685314685316
2023-10-26,-0.5314685314685316
2023-10-27,-0.27272727272727276
2023-10-30,0.04895104895104895
2023-10-31,-0.18881118881118883
2023-11-01,0.006993006993006993
2023-11-02,-0.44755244755244755
2023-11-03,-0.43356643356643365
2023-11-06,-0.3636363636363637
2023-11-07,-0.3426573426573427
2023-11-08,0.034965034965034975
2023-11-09,0.5174825174825175
2023-11-10,0.5594405594405596
2023-11-13,0.1958041958041958
2023-11-14,0.2657342657342658
2023-11-15,-0.1958041958041958
2023-11-16,-0.5244755244755246
2023-11-17,0.07692307692307693
2023-11-20,0.04895104895104895
2023-11-21,-0.16083916083916086
2023-11-22,-0.006993006993006993
2023-11-24,0.5104895104895105
2023-11-27,0.7622377622377624
2023-11-28,0.5944055944055945
2023-11-29,0.7832167832167832
2023-11-30,-0.034965034965034975
2023-12-01,-0.37762237762237766
2023-12-04,-0.44055944055944063
2023-12-05,-0.3076923076923077
2023-12-06,-0.5524475524475525
2023-12-07,0.02097902097902098
2023-12-08,0.013986013986013986
2023-12-11,0.11188811188811189
2023-12-12,0.027972027972027972
2023-12-13,0.2867132867132868
2023-12-14,-0.16083916083916086
2023-12-15,-0.23076923076923078
2023-12-18,0.1188811188811189
2023-12-19,0.055944055944055944
2023-12-20,-0.5174825174825175
2023-12-21,-0.18881118881118883
2023-12-22,0.2377622377622378
2023-12-26,0.31468531468531474
2023-12-27,0.027972027972027972
2023-12-28,0.08391608391608392
2023-12-29,-0.22377622377622378
2024-01-02,-0.04895104895104895
2024-01-03,-0.2377622377622378
2024-01-04,-0.5524475524475525
2024-01-05,-0.6153846153846154
2024-01-08,-0.6433566433566434
2024-01-09,-0.7132867132867133
2024-01-10,-0.3636363636363637
2024-01-11,-0.34965034965034975
2024-01-12,-0.16083916083916086
2024-01-16,0.06993006993006995
2024-01-17,-0.20979020979020982
2024-01-18,-0.1958041958041958
2024-01-19,0.3706293706293707
2024-01-22,0.2447552447552448
2024-01-23,0.14685314685314685
2024-01-24,0.07692307692307693
2024-01-25,0.15384615384615385
2024-01-26,-0.14685314685314685
2024-01-29,0.31468531468531474
2024-01-30,0.5244755244755246
2024-01-31,0.3356643356643357
2024-02-01,0.27272727272727276
2024-02-02,0.4825174825174825
2024-02-05,0.09090909090909093
2024-02-06,-0.04895104895104895
2024-02-07,0.04895104895104895
2024-02-08,0.027972027972027972
2024-02-09,-0.08391608391608392
2024-02-12,0.16083916083916086
2024-02-13,0.20979020979020982
2024-02-14,-0.034965034965034975
2024-02-15,0.3356643356643357
2024-02-16,0.0979020979020979
2024-02-20,-0.3706293706293707
2024-02-21,-0.3356643356643357
2024-02-22,0.09090909090909093
2024-02-23,-0.2657342657342658
2024-02-26,-0.17482517482517487
2024-02-27,-0.1398601398601399
2024-02-28,-0.04895104895104895
2024-02-29,-0.25874125874125875
2024-03-01,0.1328671328671329
2024-03-04,0.2937062937062937
2024-03-05,0.2447552447552448
2024-03-06,0.10489510489510491
2024-03-07,-0.16783216783216784
2024-03-08,0.17482517482517487
2024-03-11,-0.2937062937062937
2024-03-12,-0.6503496503496504
2024-03-13,-0.4055944055944056
2024-03-14,-0.21678321678321683
2024-03-15,-0.25874125874125875
2024-03-18,-0.1958041958041958
2024-03-19,-0.006993006993006993
2024-03-20,0.3216783216783217
2024-03-21,0.1958041958041958
2024-03-22,0.10489510489510491
2024-03-25,0.4125874125874127
2024-03-26,0.11188811188811189
2024-03-27,0.5454545454545455
2024-03-28,0.3216783216783217
2024-04-01,0.3216783216783217
2024-04-02,0.16083916083916086
2024-04-03,-0.16083916083916086
2024-04-04,-0.7132867132867133
2024-04-05,-0.32867132867132864
2024-04-08,-0.31468531468531474
2024-04-09,-0.7482517482517484
2024-04-10,-0.15384615384615385
2024-04-11,0.35664335664335667
2024-04-12,0.6923076923076924
2024-04-15,0.2937062937062937
2024-04-16,0.18181818181818185
